"filename", "language", "MS SQL", "TypeScript", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"/home/ashishm1/ecom-project/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/ashishm1/ecom-project/data/backupproducts.json", "JSON", 0, 0, 698, 0, 0, 0, 0, 0, 0, 0, 2, 700
"/home/ashishm1/ecom-project/data/data.json", "JSON", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 9, 113
"/home/ashishm1/ecom-project/data/p1.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"/home/ashishm1/ecom-project/data/products.json", "JSON", 0, 0, 792, 0, 0, 0, 0, 0, 0, 0, 8, 800
"/home/ashishm1/ecom-project/drizzle.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/ashishm1/ecom-project/drizzle/0000_short_kree.sql", "MS SQL", 119, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 131
"/home/ashishm1/ecom-project/drizzle/0001_dizzy_trish_tilby.sql", "MS SQL", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"/home/ashishm1/ecom-project/drizzle/0002_kind_klaw.sql", "MS SQL", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/ashishm1/ecom-project/drizzle/0003_dark_mephistopheles.sql", "MS SQL", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"/home/ashishm1/ecom-project/drizzle/0004_short_mesmero.sql", "MS SQL", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ashishm1/ecom-project/drizzle/0005_abandoned_dark_beast.sql", "MS SQL", 83, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 89
"/home/ashishm1/ecom-project/drizzle/0006_graceful_the_hunter.sql", "MS SQL", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ashishm1/ecom-project/drizzle/0007_noisy_scalphunter.sql", "MS SQL", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ashishm1/ecom-project/drizzle/0008_icy_reptil.sql", "MS SQL", 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 48
"/home/ashishm1/ecom-project/drizzle/0009_lazy_nekra.sql", "MS SQL", 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 70
"/home/ashishm1/ecom-project/drizzle/0009_worthless_grandmaster.sql", "MS SQL", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/ashishm1/ecom-project/drizzle/0010_spicy_multiple_man.sql", "MS SQL", 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 70
"/home/ashishm1/ecom-project/drizzle/0011_romantic_king_bedlam.sql", "MS SQL", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ashishm1/ecom-project/drizzle/meta/0000_snapshot.json", "JSON", 0, 0, 876, 0, 0, 0, 0, 0, 0, 0, 0, 876
"/home/ashishm1/ecom-project/drizzle/meta/0001_snapshot.json", "JSON", 0, 0, 946, 0, 0, 0, 0, 0, 0, 0, 0, 946
"/home/ashishm1/ecom-project/drizzle/meta/0002_snapshot.json", "JSON", 0, 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 1004
"/home/ashishm1/ecom-project/drizzle/meta/0003_snapshot.json", "JSON", 0, 0, 1062, 0, 0, 0, 0, 0, 0, 0, 0, 1062
"/home/ashishm1/ecom-project/drizzle/meta/0004_snapshot.json", "JSON", 0, 0, 1068, 0, 0, 0, 0, 0, 0, 0, 0, 1068
"/home/ashishm1/ecom-project/drizzle/meta/0005_snapshot.json", "JSON", 0, 0, 1662, 0, 0, 0, 0, 0, 0, 0, 0, 1662
"/home/ashishm1/ecom-project/drizzle/meta/0006_snapshot.json", "JSON", 0, 0, 1662, 0, 0, 0, 0, 0, 0, 0, 0, 1662
"/home/ashishm1/ecom-project/drizzle/meta/0007_snapshot.json", "JSON", 0, 0, 1669, 0, 0, 0, 0, 0, 0, 0, 0, 1669
"/home/ashishm1/ecom-project/drizzle/meta/0008_snapshot.json", "JSON", 0, 0, 1978, 0, 0, 0, 0, 0, 0, 0, 0, 1978
"/home/ashishm1/ecom-project/drizzle/meta/0009_snapshot.json", "JSON", 0, 0, 2053, 0, 0, 0, 0, 0, 0, 0, 0, 2053
"/home/ashishm1/ecom-project/drizzle/meta/0010_snapshot.json", "JSON", 0, 0, 2497, 0, 0, 0, 0, 0, 0, 0, 0, 2497
"/home/ashishm1/ecom-project/drizzle/meta/0011_snapshot.json", "JSON", 0, 0, 2490, 0, 0, 0, 0, 0, 0, 0, 0, 2490
"/home/ashishm1/ecom-project/drizzle/meta/_journal.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 90
"/home/ashishm1/ecom-project/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"/home/ashishm1/ecom-project/items.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 7, 33
"/home/ashishm1/ecom-project/lib/actions/address-action.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"/home/ashishm1/ecom-project/lib/actions/admin-actions/actions.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/ashishm1/ecom-project/lib/actions/admin-actions/admin-analytic.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 0, 205, 75, 404
"/home/ashishm1/ecom-project/lib/actions/admin-actions/admin-customer-cart.ts", "TypeScript", 0, 228, 0, 0, 0, 0, 0, 0, 0, 29, 33, 290
"/home/ashishm1/ecom-project/lib/actions/admin-actions/admin-customer-checkout.ts", "TypeScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 12, 20, 176
"/home/ashishm1/ecom-project/lib/actions/admin-actions/pos-orders.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 19, 108
"/home/ashishm1/ecom-project/lib/actions/admin-actions/prods.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 6, 53
"/home/ashishm1/ecom-project/lib/actions/appointment.actions.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 9, 16, 137
"/home/ashishm1/ecom-project/lib/actions/cart-actions.ts", "TypeScript", 0, 290, 0, 0, 0, 0, 0, 0, 0, 217, 92, 599
"/home/ashishm1/ecom-project/lib/actions/categories.actions.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 19, 21, 106
"/home/ashishm1/ecom-project/lib/actions/create-review.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 0, 0, 0, 38, 32, 218
"/home/ashishm1/ecom-project/lib/actions/favourite-actions.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 4, 20, 97
"/home/ashishm1/ecom-project/lib/actions/get-smartphone.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"/home/ashishm1/ecom-project/lib/actions/navbar.action.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ashishm1/ecom-project/lib/actions/notification-action.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 9, 14, 67
"/home/ashishm1/ecom-project/lib/actions/order.actions.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 7, 12, 74
"/home/ashishm1/ecom-project/lib/actions/payments.actions.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 4, 10, 75
"/home/ashishm1/ecom-project/lib/actions/pos-orders.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 10, 9, 58
"/home/ashishm1/ecom-project/lib/actions/product-actions.ts", "TypeScript", 0, 265, 0, 0, 0, 0, 0, 0, 0, 1, 37, 303
"/home/ashishm1/ecom-project/lib/actions/productActions.ts", "TypeScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 5, 17, 152
"/home/ashishm1/ecom-project/lib/actions/search.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/home/ashishm1/ecom-project/lib/actions/stripe-checkout.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/home/ashishm1/ecom-project/lib/api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ashishm1/ecom-project/lib/auth-client.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ashishm1/ecom-project/lib/constants/product.dummy.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/home/ashishm1/ecom-project/lib/customers/order/actions.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 0, 0, 0, 6, 21, 156
"/home/ashishm1/ecom-project/lib/db/index.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
