Date : 2025-12-26 22:55:52
Directory : /home/ashishm1/ecom-project
Total : 285 files,  50881 codes, 3872 comments, 3090 blanks, all 57843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/ashishm1/ecom-project/app/admin/products/[id]/page.tsx                     | TypeScript JSX     |         19 |          1 |          3 |         23 |
| /home/ashishm1/ecom-project/app/admin/products/new/page.tsx                      | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /home/ashishm1/ecom-project/app/admin/products/page.tsx                          | TypeScript JSX     |         72 |         78 |          7 |        157 |
| /home/ashishm1/ecom-project/app/admin/sidebar/loading.tsx                        | TypeScript JSX     |         41 |          5 |          6 |         52 |
| /home/ashishm1/ecom-project/app/admin/sidebar/page.tsx                           | TypeScript JSX     |        113 |          8 |         18 |        139 |
| /home/ashishm1/ecom-project/app/admin/topbar/page.tsx                            | TypeScript JSX     |        131 |          4 |          4 |        139 |
| /home/ashishm1/ecom-project/app/admin/users/page.tsx                             | TypeScript JSX     |         10 |          1 |          3 |         14 |
| /home/ashishm1/ecom-project/app/api/admin/pos/cart/[cartId]/route.ts             | TypeScript         |         28 |          1 |          4 |         33 |
| /home/ashishm1/ecom-project/app/api/admin/pos/cart/add/route.ts                  | TypeScript         |         18 |          1 |          5 |         24 |
| /home/ashishm1/ecom-project/app/api/admin/pos/cart/clear/route.ts                | TypeScript         |         11 |          1 |          4 |         16 |
| /home/ashishm1/ecom-project/app/api/admin/pos/cart/create/route.ts               | TypeScript         |         52 |          3 |         10 |         65 |
| /home/ashishm1/ecom-project/app/api/admin/pos/cart/remove/route.ts               | TypeScript         |         11 |          1 |          4 |         16 |
| /home/ashishm1/ecom-project/app/api/admin/pos/order/[orderId]/route.ts           | TypeScript         |         18 |          1 |          4 |         23 |
| /home/ashishm1/ecom-project/app/api/admin/pos/order/route.ts                     | TypeScript         |         10 |          1 |          3 |         14 |
| /home/ashishm1/ecom-project/app/api/admin/pos/order/update-status/route.ts       | TypeScript         |         12 |          1 |          4 |         17 |
| /home/ashishm1/ecom-project/app/api/admin/route.ts                               | TypeScript         |         12 |          0 |          4 |         16 |
| /home/ashishm1/ecom-project/app/api/admin/users/ban/route.ts                     | TypeScript         |          0 |          0 |          1 |          1 |
| /home/ashishm1/ecom-project/app/api/admin/users/route.ts                         | TypeScript         |         13 |          0 |          2 |         15 |
| /home/ashishm1/ecom-project/app/api/auth/[...all]/route.ts                       | TypeScript         |          3 |          0 |          1 |          4 |
| /home/ashishm1/ecom-project/app/api/cart/route.ts                                | TypeScript         |         28 |          1 |          3 |         32 |
| /home/ashishm1/ecom-project/app/api/categories/[id]/route.ts                     | TypeScript         |         42 |          0 |          6 |         48 |
| /home/ashishm1/ecom-project/app/api/categories/route.ts                          | TypeScript         |         13 |         32 |          5 |         50 |
| /home/ashishm1/ecom-project/app/api/email/route.ts                               | TypeScript         |         10 |          0 |          2 |         12 |
| /home/ashishm1/ecom-project/app/api/favorites/route.ts                           | TypeScript         |          6 |          0 |          2 |          8 |
| /home/ashishm1/ecom-project/app/api/imagekit/upload/route.ts                     | TypeScript         |        117 |         12 |         24 |        153 |
| /home/ashishm1/ecom-project/app/api/neon/route.ts                                | TypeScript         |         10 |          0 |          2 |         12 |
| /home/ashishm1/ecom-project/app/api/payments/create-intent/route.ts              | TypeScript         |         99 |          4 |         18 |        121 |
| /home/ashishm1/ecom-project/app/api/products/route.ts                            | TypeScript         |         46 |          0 |          6 |         52 |
| /home/ashishm1/ecom-project/app/api/route.ts                                     | TypeScript         |          9 |          0 |          4 |         13 |
| /home/ashishm1/ecom-project/app/api/stripe/admin/checkout/route.ts               | TypeScript         |        119 |          3 |         23 |        145 |
| /home/ashishm1/ecom-project/app/api/stripe/admin/webhook/route.ts                | TypeScript         |        161 |         17 |         34 |        212 |
| /home/ashishm1/ecom-project/app/api/stripe/checkout/route.ts                     | TypeScript         |        142 |          6 |         23 |        171 |
| /home/ashishm1/ecom-project/app/api/stripe/webhook/route.ts                      | TypeScript         |        180 |         19 |         39 |        238 |
| /home/ashishm1/ecom-project/app/api/test/route.ts                                | TypeScript         |         24 |         23 |          2 |         49 |
| /home/ashishm1/ecom-project/app/api/upload-auth/route.ts                         | TypeScript         |          8 |          5 |          5 |         18 |
| /home/ashishm1/ecom-project/app/appointment/page.tsx                             | TypeScript JSX     |        124 |         12 |         20 |        156 |
| /home/ashishm1/ecom-project/app/appointment/success/page.tsx                     | TypeScript JSX     |         44 |          0 |          7 |         51 |
| /home/ashishm1/ecom-project/app/cart/page.tsx                                    | TypeScript JSX     |         15 |        271 |         31 |        317 |
| /home/ashishm1/ecom-project/app/checkout/page.tsx                                | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /home/ashishm1/ecom-project/app/checkout/payment/page.tsx                        | TypeScript JSX     |         26 |          0 |          3 |         29 |
